time,lat,lon,temperature,salinity,current_speed,catch_species,catch_weight,species_id,biodiversity_index
2020-01-01,-10.036790492211,84.20316461542878,7.58,31.35,1.41,Sardine,76.0,SP001,2.94
2020-01-16,36.057144512793286,28.413996499504883,27.56,32.23,0.31,Anchovy,486.1,SP001,6.93
2020-01-31,18.559515344912406,36.162871409461374,17.63,31.42,1.15,Mackerel,447.7,SP001,4.54
2020-02-15,7.892678735762928,109.85541885270793,25.66,30.71,1.21,Anchovy,467.5,SP002,6.86
2020-03-01,-27.51850876460508,80.64290596595899,13.0,30.97,0.85,Anchovy,497.7,SP004,1.96
2020-03-16,-27.520438373103786,20.919705161662964,27.39,33.69,1.47,Sardine,128.3,SP002,6.92
2020-03-31,-35.35331102654404,30.14715428660321,14.73,31.65,1.87,Anchovy,228.3,SP004,9.99
2020-04-15,29.294091661994813,86.35017691080559,5.27,32.91,1.85,Sardine,391.2,SP004,1.43
2020-04-30,8.089200939456703,20.50615838462187,27.63,34.03,0.9,Tuna,363.2,SP003,9.79
2020-05-15,16.645806223683635,36.08080514174986,7.28,35.52,0.23,Tuna,119.3,SP003,4.66
2020-05-30,-38.353240456335804,74.87337893665861,12.98,30.31,1.97,Sardine,417.1,SP004,8.84
2020-06-14,37.592788172959544,89.18951976926932,28.75,36.4,1.68,Tuna,151.0,SP004,8.04
2020-06-29,26.595411264033743,85.19612595026005,28.77,35.02,0.25,Mackerel,150.7,SP002,6.1
2020-07-14,-23.012871145737908,42.426930946055975,19.34,30.65,1.84,Anchovy,291.6,SP002,7.65
2020-07-29,-25.45400262343195,91.2179221347536,20.8,36.99,1.74,Mackerel,316.8,SP003,8.91
2020-08-13,-25.327639211725295,43.72490874968001,16.21,37.37,1.04,Anchovy,311.0,SP001,4.64
2020-08-28,-15.660620563236982,52.539969815926774,12.33,30.49,1.18,Tuna,91.2,SP004,3.94
2020-09-12,1.980514530579029,94.64914051180241,13.22,32.22,0.8,Mackerel,444.9,SP002,7.01
2020-09-27,-5.444398508630741,84.96328990472146,21.81,36.45,0.11,Tuna,169.5,SP003,8.27
2020-10-12,-16.701668784156645,104.9223410494178,23.81,35.99,0.67,Anchovy,108.3,SP002,7.86
2020-10-27,8.94823157779036,85.76128923003434,24.79,31.48,1.61,Sardine,449.9,SP004,8.18
2020-11-11,-28.84049114783665,76.83086033354716,24.74,31.67,0.01,Sardine,480.0,SP004,4.92
2020-11-26,-16.628428117182548,29.36747678280925,7.28,32.96,0.67,Mackerel,438.0,SP005,8.36
2020-12-11,-10.691052536504664,56.77158030594335,17.36,33.88,0.8,Tuna,414.3,SP001,2.08
2020-12-26,-3.514401262637122,46.520236768172545,6.44,34.95,1.07,Tuna,344.9,SP005,5.9
2021-01-10,22.81407691144109,44.39896433790835,18.74,32.95,1.84,Mackerel,297.9,SP003,1.05
2021-01-25,-24.026097427331223,117.30105547524455,16.04,33.7,0.69,Sardine,89.1,SP002,3.92
2021-02-09,1.1387550730889302,59.30977246667604,27.19,35.98,0.69,Anchovy,233.8,SP003,4.3
2021-02-24,7.393165508963399,109.20465551771133,13.77,30.29,1.48,Mackerel,217.7,SP004,4.57
2021-03-11,-36.28396698240018,83.11386259972629,7.93,32.02,0.9,Anchovy,166.9,SP005,7.26
2021-03-26,8.603588152115066,99.48113035416485,8.57,35.71,0.45,Sardine,375.5,SP005,4.5
2021-04-10,-26.35807010501668,70.2637093105192,24.04,37.16,0.9,Tuna,273.1,SP005,5.04
2021-04-25,-34.79587256117764,77.69038846263591,20.46,34.09,0.28,Sardine,86.5,SP003,3.14
2021-05-10,35.910842980266665,69.25176938188639,7.53,34.26,0.35,Mackerel,149.1,SP004,4.36
2021-05-25,37.25056264596475,39.524298779804454,7.1,30.86,1.0,Tuna,357.5,SP002,3.05
2021-06-09,24.671787849316885,92.24521152615053,22.52,33.58,0.84,Mackerel,84.3,SP002,1.66
2021-06-24,-15.630898466130347,48.07723624408558,6.82,34.26,1.83,Mackerel,433.0,SP003,6.43
2021-07-09,-32.18623087948929,22.431596643145383,25.55,31.94,0.72,Sardine,272.8,SP005,7.01
2021-07-24,14.73864212097255,84.54722959071678,22.66,32.15,1.16,Mackerel,266.3,SP001,6.58
2021-08-08,-4.787800500831892,37.71106794070489,7.03,33.02,1.26,Sardine,316.6,SP003,5.17
2021-08-23,-30.236941212417694,114.04585843529144,7.12,30.16,0.03,Tuna,421.1,SP003,4.42
2021-09-07,-0.38584719109838517,115.39285770025873,29.67,32.58,1.33,Sardine,206.5,SP004,8.77
2021-09-22,-37.24891831078253,111.48643902204485,14.36,31.69,0.36,Tuna,355.1,SP002,5.67
2021-10-07,32.74563216630257,57.01587002554444,14.27,32.62,1.92,Sardine,304.6,SP003,5.31
2021-10-22,-19.297601471998647,21.545661652886743,25.32,30.96,0.3,Anchovy,170.2,SP003,1.23
2021-11-06,13.001782748318561,112.83185625877253,28.68,37.12,0.83,Anchovy,445.4,SP005,4.07
2021-11-21,-15.063113912847122,62.81841483173143,29.65,34.75,0.17,Mackerel,408.8,SP005,4.42
2021-12-06,1.605441694224865,116.66548190436696,23.83,35.43,1.99,Sardine,346.3,SP001,4.59
2021-12-21,3.736822347462372,116.36199770892529,14.41,36.31,1.0,Sardine,432.8,SP004,6.22
